Sr No,Name,Price,Brand,Model,Energy Efficiency,Capacity,Annual Energy Consumption,Noise Level,Installation Type,Special Features,Colour,Control Console,Voltage,Material,Included Components,Batteries Included,Batteries Required,Battery Cell Type,Manufacturer,Country of Origin,Link
39,"Blue Star 1.5 Ton 5 Star Window AC (Copper 5W18GBT White)","₹ 27,990.00","Blue Star","5W18GBT","5 Star Rating","1.5 Tons","1161.16 Kilowatt Hours","50 dB","Window","Auto Restart with Memory:Ensure the AC remember the last set mode of the user, and automatically resume functioning with the same pre-set mode, making it more user friendly and convenient, during power cuts, R32 Eco-Friendly Refrigerant:Enables the AC to deliver High Performance cooling with Great Energy Efficiency while having Zero Ozone depleting properties and Very Low Global Warming Potential (GWP), High Energy Efficiency Rotary Compressor:Designed to enhance cooling performance at low energy consumption levels, increasing AC efficiency, Metal Enclosure for PCB:Protect AC, acting as fire resistance; shield the electrical components of the PCB circuit from any kind of heat damage or fire, Anti Freeze Thermostat:Protect AC system from freezing, providing extra durability and stability, Comfort Sleep:Intelligently senses variation in indoor temperature and adjusts the same automatically, to keep you comfortable through the night, Hydrophilic Blue Fins for Protection:Ensure AC do not form any water or dust deposits, delivering unhindered cooling performance and enhanced durability, 4 Cooling Modes:Programmed mode, for comfort cooling during different ambient conditions, Self Diagnosis:Alert the user about any fault in the AC operation immediately, through error display; you can report to Blue Star authorised customer care center for quick resolution","White","Remote Control","230 Volts","Plastic","1N Indoor Unit- W X H X D : 660 x 430 x 770 mm , Weight: 60 Kg|| 1N Remote|| 2N Battery|| 1N Manual|| 1N Installation Kit||1 Warranty Card","No","No","Alkaline","Blue Star Limited","India","https://amazon.in/Blue-Star-Window-Copper-5W18GBT/dp/B07VQJKLGS/ref=sr_1_39?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-39"
29,"Whirlpool 1.5 Ton 3 Star Inverter Split AC (Copper, 1.5T MAGICOOL PRO+ 3S COPR INVERTER, White)","₹ 29,990.00","Whirlpool","1.5T MAGICOOL PRO+ 3S COPR INV","3 Star Rating","1.5 Tons",,"43 dB","Split System","Inverter, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 AC, 1 Indoor Unit, 1 Outdoor Unit, 1 User Manual, 1 Remote, Installation Pipe and Wire",,"No","Alkaline","Whirlpool","India","https://amazon.in/Whirlpool-1-5T-MAGICOOL-PRO-COPR/dp/B07P5HJJW8/ref=sr_1_40?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-40"
67,"LG 1.5 Ton 5 Star Inverter Split AC (Copper, 2020 Model, LS-Q18GWZA, White & Gold Deco Strip)","₹ 42,502.00","LG","LS-Q18GWZA","5 Star Rating","1.5 Tons","835.5 Kilowatt Hours",,"Split System","Inverter, Dust_filter, Dehumidifier","White & Gold Deco Strip","Remote Control","230 Volts","Plastic","Included in the box: 1 Indoor unit, 1 outdoor unit, inter Connecting pipe, 1 remote, 1 Manual, 1 Warranty card, 2 batteries, inter Connecting wire","Yes","No","Zinc Carbon","LG",,"https://amazon.in/LG-Inverter-Convertible-Cooling-Control/dp/B084D79MGQ/ref=sr_1_41?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-41"
8,"Panasonic 1.5 Ton 3 Star Wi-Fi Twin Cool Inverter Split AC (Copper, PM 2.5 Filter, 2020 Model, CS/CU-SU18WKYTW White)","₹ 34,999.00","Panasonic","CS/CU-SU18WKYTW","3 Star Rating","1.5 Tons","1028.68 Kilowatt Hours","43 dB","Split System","Inverter,dust_filter,antibacterial_coating,dehumidifier, Wifi_control, PM 2.5 Filter","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, 1 Remote Controller, Piping Kit, 2 AAA batteries,User Manual","Yes","Yes","Zinc Carbon","Panasonic India Private Limited","India","https://amazon.in/Panasonic-Inverter-Copper-CS-CU-SU18WKYTW/dp/B08436LGBX/ref=sr_1_42?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-42"
72,"Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Split AC (Copper, Nanoe air purification technology, 2020 Model, CS/CU-XU18WKYF, White)","₹ 44,100.00","Panasonic","CS/CU-XU18WKYF","5 Star Rating","1.5 Tons","848.28 Kilowatt Hours",,"Split System","Inverter, Antibacterial_coating, Dust_filter, Wifi_control, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, 1 Remote Controller,User Manual, Warranty Card","Yes","Yes","Zinc Carbon","Panasonic","India","https://amazon.in/Panasonic-Inverter-CS-CU-XU18WKYF-Powered/dp/B0862QQMNB/ref=sr_1_43_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-43-spons&psc=1"
57,"Blue Star 1.5 Ton 5 Star Inverter Split AC (Copper, IC518DBTU, Auto Adjustable, 2020 Model, White)","₹ 40,999.00","Blue Star","IC518DBTU","5 Star Rating","1.5 Tons","856.63 Kilowatt Hours","41 dB","Split System","Inverter, Dust_filter, Auto adjustable, Dehumidifier","White","Remote Control","230 Volts","Plastic","1N Outdoor Unit- W X H X D : 968 x 652.5 x 367 mm , Weight: 34 Kg|| 1N Indoor Unit- W X H X D: 960 x 320 x 215 mm , Weight: 12 kg|| 1N Remote|| 1N Manual|| 1N Installation Kit ||1 Warranty Card","Yes","Yes","Alkaline","Blue Star Limited","India","https://amazon.in/Blue-Star-Inverter-Copper-IC518DBTU/dp/B0843GL3NT/ref=sr_1_44_sspa?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-44-spons&psc=1"
60,"Daikin 1.5 Ton 4 Star Inverter Split AC (Copper, PM 2.5 Filter, 2018 Model, FTKP50TV, White)","₹ 36,900.00","Daikin","FTKP50TV","4 Star Rating","1.5 Tons",,"35 dB","Split System","Inverter,dust_filter, PM 2.5 Filter","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 3 Manuals, 1 Warranty Card","Yes","No","Zinc","Daikin Airconditioning India Pvt. Ltd.","India","https://amazon.in/Daikin-Inverter-Split-Copper-FTKP50TV/dp/B07HFFGF22/ref=sr_1_45?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-45"
13,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, Anti Microbial Filter, 2018 Model,FTKF50TV White)","₹ 47,199.00","Daikin","FTKF50TV","5 Star Rating","1.5 Tons",,"32 dB","Split System","Inverter,dust_filter, Anti microbial filter","White","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Inter Connecting Pipe, 1 Remote, 3 Manuals, 1 Warranty Card","Yes","No","Zinc","Daikin Airconditioning India Pvt. Ltd.",,"https://amazon.in/Daikin-Inverter-Split-Copper-FTKF50TV/dp/B07HFK5FSD/ref=sr_1_46?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-46"
15,"Voltas 1.5 Ton 3 Star Inverter Split AC (Copper 183V CZT3 (R32) White)","₹ 30,490.00","Voltas","183V CZT3 (R32)","3 Star","1.5 Tons",,"48 dB","Split System","Inverter, Dust_filter","White","Remote Control","230 Volts","Plastic","1 indoor Unit, 1 Outdoor Unit, Remote, Manual, Warranty Card, 1 Connecting Pipe, 1 Connecting Cable","No","No","Alkaline","Universal Comfort Products Ltd",,"https://amazon.in/Voltas-Inverter-183V-CZT3-R32/dp/B07P2L4XTF/ref=sr_1_47?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-47"
6,"Hitachi 1.5 Ton 3 Star Window AC (RAW318KUD New Kaze Plus White)","₹ 24,990.00","Hitachi","RAW318KUD","3 Star","1.5 Tons",,"50 dB","Window","Anti-bacterial Filter","White","Remote Control","230 Volts",,"1 Unit, 1 Remote, 1 Manuals, 1 Warranty Card","No","No","Alkaline","JOHNSON CONTROLS-HITACHI AIRCONDITIONING INDIA LIMITED","India","https://amazon.in/Hitachi-Star-Window-RAW318KUD-White/dp/B00LHO9YTQ/ref=sr_1_48?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-48"
19,"IFB 1.5 Ton 5 Star Inverter Split AC (Copper, IACI18GB5G3C, Ivory)","₹ 42,990.00","IFB","IACI18GB5G3C","5 Star Rating","1.5 Tons","857 Kilowatt Hours","38 dB","Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","Ivory","Remote Control","230 Volts","Plastic","1 Indoor Unit, 1 Outdoor Unit, Connecting kit, Remote,User Manual,warranty card",,"No",,"IFB","India","https://amazon.in/IFB-Inverter-Split-Copper-IACI18GB5G3C/dp/B0866MKVLT/ref=sr_1_49?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-49"
16,"TOSHIBA 1.5 Ton 5 Star Inverter Split AC (Copper, RAS-18N3KCV-IN+RAS-18N3ACV-IN, Gloss White)",,"TOSHIBA","RAS-18N3KCV-IN+RAS-18N3ACV-IN","5 Star Rating","1.5 Tons",,"32 dB","Split System","Inverter, Antibacterial_coating, Dust_filter","Gloss White","Remote Control","230 Volts","Plastic","Air Conditioner (IDU + ODU)","Yes","No","Zinc Carbon","TOSHIBA Carrier Thailand Corporation Ltd",,"https://amazon.in/Toshiba-Inverter-Copper-RAS-18N3KCV-RAS-18N3ACV/dp/B07NXGZQSC/ref=sr_1_50?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-50"
48,"CROMA Copper 3 Star Split Inverter AC with Installation (1.5 Ton, CRAC7557, White)",,"CROMA","CRAC7557","3 Star","1.5 Tons","1025.84 Kilowatt Hours","41 dB","Split System","High Density Filter, Copper Condenser, Energy Saving Mode","White",,,,,"No","No",,"CROMA","China","https://amazon.in/CROMA-INV-1-5T-CRAC7557-PAC/dp/B07NL4FXK2/ref=sr_1_51?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-51"
14,"Lloyd 1.5 Ton 3 Star Inverter Split AC (Copper LS18I32AL White)","₹ 36,671.00","Lloyd","LS18I32AL","3 Star","1.5 Tons",,"41 dB","Split System","Inverter, Antibacterial_coating, Dust_filter, Dehumidifier, Air_purifier","White","Remote Control","230 Volts","Steel","1 Indoor Unit 1 Outdoor Unit Inter Connecting Pipe 1 Remote 3 Manuals and 1 Warranty Card","Yes","Yes","Alkaline","Havells India Limited",,"https://amazon.in/Lloyd-Inverter-Split-Copper-LS18I32AL/dp/B07ND9CRTB/ref=sr_1_52?crid=38PBPKRGYG0VE&dchild=1&keywords=samsung+split+ac+1.5+ton+5+star&qid=1611462461&refinements=p_n_feature_eleven_browse-bin%3A2753098031%2Cp_72%3A1318477031&rnid=1318475031&s=kitchen&sprefix=samsung+split+ac%2Caps%2C283&sr=1-52"
